"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ti","2","247.64931","0.00015","247.649265","0.000014","40367.49","4","","","34543.3799","74910.8726","3d2.(3F).4p","z 2G*","7/2","3d2.(1D).4d","2G","7/2","","","u37","",40367.49,10.6057800370317,"wn(cm-1)"
"Ti","2","247.41947","0.00004","247.419437","0.000007","40404.982","17","6.51e+05","C+","393.4459","40798.4333","3d2.(3F).4s","a 4F","9/2","3d2.(3P).4p","y 4D*","7/2","","T7385","u37","",40404.982,10.606708373178,"wn(cm-1)"
"Ti","2","247.29408","0.00018","247.292548","0.000007","40425.47","4","2.08e+06","B'","0.0000","40425.7183","3d2.(3F).4s","a 4F","3/2","3d2.(3P).4p","y 4D*","3/2","","T7385","L17999","",40425.47,10.6072153108465,"wn(cm-1)"
"Ti","2","246.916","","246.915069","0.000009","40487.4","3:","","","94.1142","40581.6301","3d2.(3F).4s","a 4F","5/2","3d2.(3P).4p","y 4D*","5/2","","","L5432","",40487.4,10.6087460935784,"wn(cm-1)"
"Ti","2","246.797731","0.000012","246.797737","0.000009","40506.764","73","","","37430.6814","77937.4445","3d2.(3P).4p","z 2S*","1/2","3d2.(3P).4d","2P","1/2","","","u37","",40506.764,10.6092242514953,"wn(cm-1)"
"Ti","2","246.52485","0.00015","246.524723","0.000010","40551.60","4","","","32332.9031","72884.5221","3d3","d 2D1","5/2","3d2.(3F).5p","2G*","7/2","","","u37","",40551.6,10.6103305162251,"wn(cm-1)"
"Ti","2","246.397","","246.396445","0.000007","40572.6","4:","","","225.7039","40798.4333","3d2.(3F).4s","a 4F","7/2","3d2.(3P).4p","y 4D*","7/2","","","L5432","",40572.6,10.6108482409106,"wn(cm-1)"
"Ti","2","246.343","","246.342399","0.000005","40581.5","0:","","","0.0000","40581.6301","3d2.(3F).4s","a 4F","3/2","3d2.(3P).4p","y 4D*","5/2","","","L5432","",40581.5,10.6110675767183,"wn(cm-1)"
"Ti","2","246.064722","0.000012","246.064733","0.000010","40627.422","145","","","37430.6814","78058.1017","3d2.(3P).4p","z 2S*","1/2","3d2.(3P).4d","2P","3/2","","","u37","",40627.422,10.6121985363165,"wn(cm-1)"
"Ti","2","245.601","","245.599832","0.000009","40704.2","0:","","","94.1142","40798.4333","3d2.(3F).4s","a 4F","5/2","3d2.(3P).4p","y 4D*","7/2","","","L5432","",40704.2,10.6140865602097,"wn(cm-1)"
"Ti","2","245.043470","0.000012","245.043467","0.000010","40796.730","73","4.5e+07","C","12758.2597","53554.9903","3d3","b 2D2","5/2","3d.(2D).4s.4p.(3P*)","w 2D*","5/2","","T2805","u37","",40796.73,10.6163572101215,"wn(cm-1)"
"Ti","2","244.78979","0.00010","244.789782","0.000010","40839.006","6","3.7e+06","D","12758.2597","53597.2664","3d3","b 2D2","5/2","3d.(2D).4s.4p.(3P*)","w 2D*","3/2","","T2403n","u37","",40839.006,10.617392933099,"wn(cm-1)"
